Target,Pair,Lag,Model,RMSE,MAE,R2,Spearman,Train_Time,Optimized,Run_Mode
target_0,US_Stock_VT_adj_close,1,Ridge,0.01070572940677743,0.007040532331171671,-0.18454706524699316,0.012716124600490675,0.06708979606628418,False,BASELINE
target_0,US_Stock_VT_adj_close,1,Lasso,0.009847951019659879,0.00645586248938209,-0.0023319097793026433,0.0,0.004072666168212891,False,BASELINE
target_0,US_Stock_VT_adj_close,1,RandomForest,0.01158586195161704,0.007000018241901452,-0.38731951600840997,0.005074333823725457,0.2697570323944092,False,BASELINE
target_0,US_Stock_VT_adj_close,1,ElasticNet,0.009847951019659879,0.00645586248938209,-0.0023319097793026433,0.0,0.003134489059448242,False,BASELINE
target_0,US_Stock_VT_adj_close,1,XGBoost,0.010994606474081948,0.007567308326516669,-0.24933577321358324,-0.14022620806472239,0.6218624114990234,False,BASELINE
target_0,US_Stock_VT_adj_close,1,LightGBM,0.010678962730757056,0.007334104439882436,-0.17863121405085192,-0.09061514665402522,2.0908141136169434,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,Ridge,0.014160489458324082,0.010644000284176605,-0.07977267475305405,0.07247806024858171,0.007406711578369141,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,Lasso,0.013638816942683206,0.009922362756412716,-0.0016804636647693716,0.0,0.0056362152099609375,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,RandomForest,0.014423804765201198,0.010065393208605512,-0.12030293405055836,0.06723294413828218,0.35576820373535156,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,ElasticNet,0.013638816942683206,0.009922362756412716,-0.0016804636647693716,0.0,0.003495454788208008,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,XGBoost,0.014763711337442037,0.01021891930491426,-0.17372645435965706,0.08644591598688503,0.5486640930175781,False,BASELINE
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,LightGBM,0.014911507631810449,0.010896954071861815,-0.19734391935290807,0.05284791263644219,1.4718103408813477,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,Ridge,0.01201294326933362,0.009378087210446605,-0.014827990748357278,0.04640316097352211,0.007529497146606445,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,Lasso,0.011933274617684305,0.009337508050541996,-0.0014121472961083903,0.0,0.005391120910644531,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,RandomForest,0.01208669176702048,0.009383369101849458,-0.0273264715823196,0.15833829930965673,0.3708181381225586,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,ElasticNet,0.011925261868385472,0.00933636363746244,-6.777690191128727e-05,0.058862879166805535,0.00412750244140625,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,XGBoost,0.012306498129200049,0.009587540366926653,-0.06503177504278135,0.10854201838012548,0.5629251003265381,False,BASELINE
target_2,LME_CA_Close - LME_ZS_Close,1,LightGBM,0.012334395186600434,0.009585851809082316,-0.06986579489356481,0.11714188675583445,1.5340831279754639,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,Ridge,0.01236756882774835,0.009837896598410712,0.003954608034241525,0.08985037378561662,0.007140159606933594,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,Lasso,0.012399433198895114,0.009791197490603497,-0.0011845177832812137,0.0,0.005198478698730469,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,RandomForest,0.012244295021937043,0.009596996663379662,0.02371182489085344,0.14515870182121737,0.39263296127319336,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,ElasticNet,0.012399433198895114,0.009791197490603497,-0.0011845177832812137,0.0,0.003453493118286133,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,XGBoost,0.012811465035324668,0.01002212048727283,-0.06882856000676774,0.052568104373832886,0.5268399715423584,False,BASELINE
target_3,LME_AH_Close - LME_ZS_Close,1,LightGBM,0.01288137917069295,0.010082117971193079,-0.08052591400559983,0.09446170268088076,1.5457525253295898,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,Ridge,0.015615638057558572,0.01193918377667682,-0.1405688161108325,-0.021636690961844337,0.006537437438964844,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,Lasso,0.014624201863299477,0.011121942109882993,-0.00033708915618979596,0.0,0.0053980350494384766,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,RandomForest,0.014833905333025536,0.011243843608627478,-0.029231409240426665,0.017883348190096657,0.36019277572631836,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,ElasticNet,0.014624201863299477,0.011121942109882993,-0.00033708915618979596,0.0,0.003317117691040039,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,XGBoost,0.015859518400728082,0.011944858389189772,-0.17647313727541314,-0.0010602485449111216,0.484421968460083,False,BASELINE
target_4,LME_AH_Close - JPX_Gold_Standard_Futures_Close,1,LightGBM,0.016209774899794818,0.012409155910728465,-0.22901163095416877,-0.007043504098718823,1.5483903884887695,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,Ridge,0.020228689697307924,0.01546156924162024,-0.04425872918647622,-0.059292118924020774,0.006415128707885742,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,Lasso,0.01980821250326381,0.015073867324937063,-0.001297616409879243,0.0,0.004548788070678711,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,RandomForest,0.020566448905866314,0.015363632270042398,-0.079421915408324,0.05118102529145475,0.35593152046203613,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,ElasticNet,0.01980821250326381,0.015073867324937063,-0.001297616409879243,0.0,0.0031328201293945312,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,XGBoost,0.021488553844777443,0.01648908014947833,-0.17838440749589868,-0.019062800412493665,0.48270368576049805,False,BASELINE
target_5,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,1,LightGBM,0.022081508237927077,0.016962009621785235,-0.2443142562058902,-0.022068061454564525,1.5495860576629639,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,Ridge,0.012911293496673734,0.009716346777685963,-0.057727819555931426,0.027160433740041977,0.006570339202880859,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,Lasso,0.012554238892198713,0.00951479219182972,-3.499286045305361e-05,0.0,0.0052700042724609375,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,RandomForest,0.01295563381608194,0.009868230036321864,-0.06500525027891424,-0.08362330788247414,0.41846323013305664,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,ElasticNet,0.012554238892198713,0.00951479219182972,-3.499286045305361e-05,0.0,0.0035712718963623047,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,XGBoost,0.013984540323043406,0.010783871056443467,-0.24088293195734667,-0.07576476762815286,0.4811985492706299,False,BASELINE
target_6,LME_PB_Close - LME_AH_Close,1,LightGBM,0.01473984247569155,0.011643919838027768,-0.37854232430432777,-0.06315181553755135,1.5580072402954102,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,Ridge,0.016428672421704444,0.012592417551726813,-0.018799412157865625,0.017322209611990328,0.006718635559082031,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,Lasso,0.016278421111412866,0.012298668910287193,-0.0002494099170882169,0.0,0.0055620670318603516,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,RandomForest,0.016841170497202095,0.012601775214846062,-0.0706025924329885,-0.0419097958808239,0.40721940994262695,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,ElasticNet,0.016278421111412866,0.012298668910287193,-0.0002494099170882169,0.0,0.003414154052734375,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,XGBoost,0.016883805228870844,0.013048633682741746,-0.07603008109921983,0.028877978261955956,0.5005614757537842,False,BASELINE
target_7,LME_ZS_Close - US_Stock_VYM_adj_close,1,LightGBM,0.017763566354580748,0.013876856387750013,-0.19108860735652833,-0.05989094040542821,1.596198558807373,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,Ridge,0.015745577312225575,0.011552036916727848,-0.16064970788870192,0.01070121296132557,0.007118701934814453,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,Lasso,0.014615592794710674,0.010511595671560958,-3.881844711872695e-05,0.0,0.00581049919128418,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,RandomForest,0.01870272202962903,0.013698791972605512,-0.6375464483007736,-0.01812957902883232,0.38295435905456543,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,ElasticNet,0.014615592794710674,0.010511595671560958,-3.881844711872695e-05,0.0,0.0036208629608154297,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,XGBoost,0.015568336607480575,0.01134496744761092,-0.13466697607676448,0.07195395348571886,0.5418884754180908,False,BASELINE
target_8,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,1,LightGBM,0.01666553898538874,0.012007505623427936,-0.300237588287408,-0.02890152746799315,1.6328129768371582,False,BASELINE
target_9,FX_AUDJPY - LME_PB_Close,1,Ridge,0.012990314835036614,0.009916629511875587,-0.0059769700802465575,0.030104888884465466,0.00837254524230957,False,BASELINE
target_9,FX_AUDJPY - LME_PB_Close,1,Lasso,0.01295298389641847,0.009805500802806242,-0.00020342194531552948,0.0,0.005164146423339844,False,BASELINE
target_9,FX_AUDJPY - LME_PB_Close,1,RandomForest,0.012834132746768213,0.009817402240971194,0.01806726416834925,0.10862387923409092,0.38196897506713867,False,BASELINE
target_9,FX_AUDJPY - LME_PB_Close,1,ElasticNet,0.01295298389641847,0.009805500802806242,-0.00020342194531552948,0.0,0.0033113956451416016,False,BASELINE
