Lag,ElasticNet,Lasso,LightGBM,RandomForest,Ridge,XGBoost
1,0.0463,0.0035,0.0063,0.0079,0.0372,-0.003
2,0.0902,0.0153,0.0201,0.0294,0.07,0.0059
3,0.0929,0.0403,0.0254,0.0405,0.0764,0.0173
4,0.1095,0.0583,0.0255,0.0548,0.0818,0.0186
