,RMSE,RMSE,RMSE,RMSE,Spearman,Spearman,Spearman,Spearman,Train_Time,Train_Time
,mean,std,min,max,mean,std,min,max,mean,sum
Model,,,,,,,,,,
ElasticNet,0.0264,0.0116,0.0098,0.082,0.0847,0.0769,-0.0879,0.3329,0.0833,35.3363
Lasso,0.0256,0.0105,0.0098,0.0756,0.0293,0.0682,-0.1211,0.31,0.0059,2.5203
LightGBM,0.0273,0.0116,0.01,0.0827,0.0193,0.0782,-0.2035,0.2823,1.3977,581.4237
RandomForest,0.0287,0.0139,0.0111,0.1616,0.0331,0.0799,-0.2232,0.2562,0.3479,147.519
Ridge,0.028,0.0133,0.0098,0.1116,0.0664,0.0665,-0.1075,0.2664,0.0077,3.266
XGBoost,0.0261,0.0113,0.0098,0.0935,0.0097,0.0531,-0.1915,0.2433,0.2612,108.6557
