Target,Pair,Lag,Model,RMSE,MAE,R2,Spearman,Train_Time,Optimized,Run_Mode
target_0,US_Stock_VT_adj_close,1,Ridge,0.010705729406777552,0.007040532331171757,-0.18454706524702003,0.012716124600490675,0.020992040634155273,False,OPTIMIZED
target_0,US_Stock_VT_adj_close,1,Lasso,0.009847951019659879,0.00645586248938209,-0.0023319097793026433,0.0,0.0026602745056152344,False,OPTIMIZED
target_0,US_Stock_VT_adj_close,1,RandomForest,0.011720850570305696,0.007033689325451423,-0.41983557999232857,-0.004591425313070062,0.2896232604980469,False,OPTIMIZED
target_0,US_Stock_VT_adj_close,1,ElasticNet,0.009887685598870322,0.006533110137215156,-0.010436658510525776,0.05705920915082363,0.0028793811798095703,True,OPTIMIZED
target_0,US_Stock_VT_adj_close,1,XGBoost,0.009907385545498451,0.006471713228056124,-0.014467000630872029,0.036377848188220645,0.1641082763671875,True,OPTIMIZED
target_0,US_Stock_VT_adj_close,1,LightGBM,0.01009746955109703,0.006645372082670092,-0.05376774552421648,-0.024629467709199073,1.3452157974243164,True,OPTIMIZED
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,Ridge,0.014160489458324144,0.010644000284176574,-0.0797726747530636,0.07247806024858171,0.006950855255126953,False,OPTIMIZED
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,Lasso,0.013638816942683206,0.009922362756412716,-0.0016804636647693716,0.0,0.006189823150634766,False,OPTIMIZED
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,RandomForest,0.014346420426655394,0.010037329231208404,-0.10831423278097851,0.07162748521959306,0.3985257148742676,False,OPTIMIZED
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,ElasticNet,0.013621562842603456,0.009914333879248262,0.0008523312032233665,0.11749451189349272,0.0033156871795654297,True,OPTIMIZED
target_1,LME_PB_Close - US_Stock_VT_adj_close,1,XGBoost,0.013638502548202914,0.009921692594140939,-0.0016342838266789617,0.0,0.1546802520751953,True,OPTIMIZED
