Target,Model,Best_CV_Spearman,N_Trials
target_47,LightGBM,0.0897121233610849,10
target_48,ElasticNet,0.012085542119382573,10
target_48,XGBoost,0.0,10
target_48,LightGBM,0.06569957392590169,10
target_49,ElasticNet,0.09393160994445647,10
target_49,XGBoost,0.0034443694001591216,10
target_49,LightGBM,0.058071931906072786,10
target_50,ElasticNet,0.019629659490983366,10
target_50,XGBoost,0.0,10
target_50,LightGBM,0.06646753632457186,10
target_51,ElasticNet,0.043191675337124015,10
target_51,XGBoost,0.0,10
target_51,LightGBM,0.031021197278895577,10
target_52,ElasticNet,0.03557050329605357,10
target_52,XGBoost,0.014722979195274613,10
target_52,LightGBM,0.003135826073824946,10
target_53,ElasticNet,0.05982259575952043,10
target_53,XGBoost,0.0,10
target_53,LightGBM,0.046527119470097335,10
target_54,ElasticNet,0.07985126941675533,10
target_54,XGBoost,0.0,10
target_54,LightGBM,0.0,10
target_55,ElasticNet,0.009852561053800085,10
target_55,XGBoost,0.0,10
target_55,LightGBM,0.029402475930842848,10
target_56,ElasticNet,0.045361134763445166,10
target_56,XGBoost,0.0,10
target_56,LightGBM,0.03679670404934091,10
target_57,ElasticNet,0.0943050132520422,10
target_57,XGBoost,0.0,10
target_57,LightGBM,0.03820902473432586,10
target_58,ElasticNet,0.018871010469817217,10
target_58,XGBoost,0.0,10
target_58,LightGBM,0.042578280472338366,10
target_59,ElasticNet,0.03624238375508229,10
target_59,XGBoost,0.0,10
target_59,LightGBM,0.0017740456405519744,10
target_60,ElasticNet,0.026973863237047566,10
target_60,XGBoost,0.04883857144027912,10
target_60,LightGBM,0.05762889991926009,10
target_61,ElasticNet,0.04001200098969201,10
target_61,XGBoost,0.0,10
target_61,LightGBM,0.016714495286299574,10
target_62,ElasticNet,0.06962181710355332,10
target_62,XGBoost,0.0,10
target_62,LightGBM,0.07014418826551261,10
target_63,ElasticNet,0.042331668349567246,10
target_63,XGBoost,0.0,10
target_63,LightGBM,0.021352048707634626,10
target_64,ElasticNet,0.06213642376374672,10
target_64,XGBoost,0.0,10
target_64,LightGBM,0.03800595551942312,10
target_65,ElasticNet,0.05407644007005774,10
target_65,XGBoost,0.0622054073357254,10
target_65,LightGBM,0.03163673107458933,10
target_66,ElasticNet,0.04765564910691091,10
target_66,XGBoost,0.0,10
target_66,LightGBM,0.03265391751827512,10
target_67,ElasticNet,0.0,10
target_67,XGBoost,0.0,10
target_67,LightGBM,-0.006363456350040324,10
target_68,ElasticNet,0.0,10
target_68,XGBoost,0.0,10
target_68,LightGBM,0.0,10
target_69,ElasticNet,0.008582159511340825,10
target_69,XGBoost,0.0,10
target_69,LightGBM,0.0,10
target_70,ElasticNet,0.04416443659445457,10
target_71,ElasticNet,0.0,10
target_71,XGBoost,0.0,10
target_71,LightGBM,0.0,10
target_72,ElasticNet,0.08731840223187237,10
target_72,XGBoost,0.0,10
target_72,LightGBM,0.018345344411429473,10
target_73,ElasticNet,0.030186288089991842,10
target_73,XGBoost,0.0,10
target_73,LightGBM,0.016825564948447277,10
target_74,ElasticNet,-0.023926768025211025,10
target_74,XGBoost,0.0,10
target_74,LightGBM,0.025138765470257184,10
target_75,ElasticNet,0.028364514476193814,10
target_75,XGBoost,0.0,10
target_75,LightGBM,0.02273517890858075,10
target_76,ElasticNet,0.05377244553537874,10
target_76,XGBoost,0.0,10
target_76,LightGBM,0.005359032556517718,10
target_77,ElasticNet,0.0632627495903883,10
target_77,XGBoost,0.0,10
target_77,LightGBM,0.04825927203087529,10
target_78,ElasticNet,0.056289121039584646,10
target_78,XGBoost,0.0,10
target_78,LightGBM,0.038030865548401634,10
target_79,ElasticNet,0.0824240050965242,10
target_79,XGBoost,0.0,10
target_79,LightGBM,0.058297437515951005,10
target_80,ElasticNet,0.04373468272524953,10
target_80,XGBoost,0.0,10
target_80,LightGBM,0.007020062990392752,10
target_81,ElasticNet,0.0,10
target_81,XGBoost,0.0,10
target_81,LightGBM,0.03954603718839416,10
target_82,ElasticNet,0.02607170226671487,10
target_82,XGBoost,0.0,10
target_82,LightGBM,0.05391999983887583,10
target_83,ElasticNet,0.06908663896308333,10
target_83,XGBoost,0.0,10
target_83,LightGBM,0.040370861752884825,10
target_84,ElasticNet,0.039717774273274026,10
target_84,XGBoost,0.0,10
target_84,LightGBM,0.02758726365817538,10
target_85,ElasticNet,0.03590580363941647,10
target_85,XGBoost,0.022057725510852947,10
target_85,LightGBM,0.033549553628949354,10
target_86,ElasticNet,0.021843383470706423,10
target_86,XGBoost,0.0,10
target_86,LightGBM,0.03550931709835636,10
target_87,ElasticNet,0.058119095035217595,10
target_87,XGBoost,0.0,10
target_87,LightGBM,0.03164356937064336,10
target_88,ElasticNet,0.02091980962066353,10
target_88,XGBoost,0.0,10
target_88,LightGBM,-0.007399361472059625,10
target_89,ElasticNet,0.05782297394552543,10
target_89,XGBoost,0.0,10
target_89,LightGBM,0.023332853317785517,10
target_90,ElasticNet,0.03955855450417015,10
target_90,XGBoost,0.0,10
target_90,LightGBM,-0.01646170199782659,10
target_91,ElasticNet,0.09881149289584272,10
target_91,XGBoost,0.027472321042045434,10
target_91,LightGBM,0.05091566611583742,10
target_92,ElasticNet,0.07293435152017753,10
target_92,XGBoost,0.0,10
target_92,LightGBM,0.06302980973625173,10
target_93,ElasticNet,0.07090256793904433,10
target_93,XGBoost,0.02573563749223572,10
target_93,LightGBM,0.037312335115022605,10
target_94,ElasticNet,0.046919388806739265,10
target_94,XGBoost,0.0,10
target_94,LightGBM,0.0012729770141625002,10
target_95,ElasticNet,0.06528031857172638,10
target_95,XGBoost,0.05781879850183482,10
target_95,LightGBM,0.06135568506893385,10
target_96,ElasticNet,0.055375296229952964,10
target_96,XGBoost,0.0,10
target_96,LightGBM,0.058274058964602936,10
target_97,ElasticNet,0.033145428226873254,10
target_97,XGBoost,0.0003224048296614302,10
target_97,LightGBM,0.010475369878981566,10
target_98,ElasticNet,0.06980202263433415,10
target_98,XGBoost,0.0,10
target_98,LightGBM,0.022673779121711368,10
target_99,ElasticNet,0.0,10
target_99,XGBoost,0.0,10
target_99,LightGBM,0.05853198903317597,10
target_100,ElasticNet,0.05603692642185428,10
target_100,XGBoost,0.0,10
target_100,LightGBM,0.009220305830415889,10
target_101,ElasticNet,0.03396833780874352,10
target_101,XGBoost,0.0,10
target_101,LightGBM,0.05112599186116842,10
target_102,ElasticNet,0.04100417564924045,10
target_102,XGBoost,0.0,10
target_102,LightGBM,0.017492416582406477,10
target_103,ElasticNet,0.022225599124083614,10
target_103,XGBoost,0.0,10
target_103,LightGBM,0.05670153877093654,10
target_104,ElasticNet,0.002227571670448389,10
target_104,XGBoost,0.0,10
target_104,LightGBM,-0.030985207111950644,10
target_105,ElasticNet,0.01700662976751979,10
target_105,XGBoost,0.0,10
target_105,LightGBM,0.05470610238636563,10
target_106,ElasticNet,0.06829057548400795,10
target_106,XGBoost,0.0,10
target_106,LightGBM,0.053415015046096304,10
target_107,ElasticNet,0.06768387243769247,10
target_107,XGBoost,0.02653074731961334,10
target_107,LightGBM,0.07431284937261862,10
target_108,ElasticNet,0.04490972581235623,10
target_108,XGBoost,0.0,10
target_108,LightGBM,0.022813600956524085,10
target_109,ElasticNet,0.06415447668695451,10
