,RMSE,RMSE,RMSE,RMSE,Spearman,Spearman,Spearman,Spearman,Train_Time,Train_Time
,mean,std,min,max,mean,std,min,max,mean,sum
Model,,,,,,,,,,
ElasticNet,0.0256,0.0105,0.0098,0.0756,0.0642,0.0872,-0.1211,0.3329,0.0069,2.9433
Lasso,0.0256,0.0105,0.0098,0.0756,0.0293,0.0682,-0.1211,0.31,0.0064,2.7113
LightGBM,0.0295,0.0125,0.0107,0.0975,0.01,0.0797,-0.1995,0.2813,1.5358,638.8899
RandomForest,0.0287,0.014,0.0111,0.1667,0.0328,0.08,-0.2094,0.2612,0.3794,160.8462
Ridge,0.028,0.0133,0.0098,0.1116,0.0664,0.0665,-0.1075,0.2664,0.0078,3.2954
XGBoost,0.0299,0.0134,0.011,0.1056,0.0181,0.0701,-0.17,0.2626,0.5547,230.7693
